Full name,Sortable name,Canvas user id,Overall course grade,Assignment on time percent,Last page view time,Last participation time,Last logged out,Page Views,Participations,Email,SIS Id
Alexandra Rivera,"Rivera, Alexandra",1001,,,,,,,ar123@university.edu,
Jordan Patel,"Patel, Jordan",1002,,,,,,,jp456@university.edu,
Samir Nguyen,"Nguyen, Samir",1003,,,,,,,sn789@university.edu,
Priya Chen,"Chen, Priya",1004,,,,,,,pc234@university.edu,
Taylor Brooks,"Brooks, Taylor",1005,,,,,,,tb567@university.edu,
Avery Kim,"Kim, Avery",1006,,,,,,,ak890@university.edu,
Morgan Zhao,"Zhao, Morgan",1007,,,,,,,mz135@university.edu,
Riley Ortiz,"Ortiz, Riley",1008,,,,,,,ro246@university.edu,
Casey Park,"Park, Casey",1009,,,,,,,cp357@university.edu,
Devin Lee,"Lee, Devin",1010,,,,,,,dl468@university.edu,

